epoch9g step in cur epoch 5losstf.Tensor(0.4387892, shape=(), dtype=float32)
epoch9g step in cur epoch 6losstf.Tensor(0.9389862, shape=(), dtype=float32)
epoch9g step in cur epoch 7losstf.Tensor(0.9329267, shape=(), dtype=float32)
epoch9g step in cur epoch 8losstf.Tensor(1.0627805, shape=(), dtype=float32)
epoch9g step in cur epoch 9losstf.Tensor(1.0213308, shape=(), dtype=float32)
epoch9g step in cur epoch 10losstf.Tensor(1.0900152, shape=(), dtype=float32)
epoch9g step in cur epoch 11losstf.Tensor(1.0639839, shape=(), dtype=float32)
epoch9g step in cur epoch 12losstf.Tensor(1.0419734, shape=(), dtype=float32)
epoch9g step in cur epoch 13losstf.Tensor(0.8575324, shape=(), dtype=float32)
epoch9g step in cur epoch 14losstf.Tensor(1.0848898, shape=(), dtype=float32)
epoch9g step in cur epoch 15losstf.Tensor(1.0661355, shape=(), dtype=float32)
epoch9g step in cur epoch 16losstf.Tensor(1.000695, shape=(), dtype=float32)
epoch9g step in cur epoch 17losstf.Tensor(1.0061084, shape=(), dtype=float32)
epoch9g step in cur epoch 18losstf.Tensor(1.0890188, shape=(), dtype=float32)
epoch9g step in cur epoch 19losstf.Tensor(1.0180584, shape=(), dtype=float32)
epoch9g step in cur epoch 20losstf.Tensor(0.97945297, shape=(), dtype=float32)
epoch9g step in cur epoch 21losstf.Tensor(1.1403911, shape=(), dtype=float32)
epoch9g step in cur epoch 22losstf.Tensor(0.89008284, shape=(), dtype=float32)
epoch9g step in cur epoch 23losstf.Tensor(1.0139823, shape=(), dtype=float32)
epoch9g step in cur epoch 24losstf.Tensor(1.0307924, shape=(), dtype=float32)
avg loss=tf.Tensor(0.90004, shape=(), dtype=float32)
epoch10g step in cur epoch 0losstf.Tensor(0.51453173, shape=(), dtype=float32)
epoch10g step in cur epoch 1losstf.Tensor(0.43834454, shape=(), dtype=float32)
epoch10g step in cur epoch 2losstf.Tensor(0.5172248, shape=(), dtype=float32)
epoch10g step in cur epoch 3losstf.Tensor(0.60100466, shape=(), dtype=float32)
epoch10g step in cur epoch 4losstf.Tensor(0.47157955, shape=(), dtype=float32)
epoch10g step in cur epoch 5losstf.Tensor(0.3794545, shape=(), dtype=float32)
epoch10g step in cur epoch 6losstf.Tensor(0.4841134, shape=(), dtype=float32)
epoch10g step in cur epoch 7losstf.Tensor(0.45856807, shape=(), dtype=float32)
epoch10g step in cur epoch 8losstf.Tensor(0.48915502, shape=(), dtype=float32)
epoch10g step in cur epoch 9losstf.Tensor(0.51961684, shape=(), dtype=float32)
epoch10g step in cur epoch 10losstf.Tensor(0.51420367, shape=(), dtype=float32)
epoch10g step in cur epoch 11losstf.Tensor(0.5782821, shape=(), dtype=float32)
epoch10g step in cur epoch 12losstf.Tensor(0.4355508, shape=(), dtype=float32)
epoch10g step in cur epoch 13losstf.Tensor(0.66455686, shape=(), dtype=float32)
epoch10g step in cur epoch 14losstf.Tensor(0.38845807, shape=(), dtype=float32)
